Origin,Destination,Aircraft_Type,Distance_km,Passengers,Cargo_Load_pct,Weather_Severity,Wind_kts,Cruise_Temperature_C,Flight_Duration_hr,Fuel_Burn_L,Efficiency_Rating
ATL,LAX,Boeing 737-800,3125.8,136,5.0,Moderate,28.3,-55.5,3.73,11928.5,9.15
SFO,JFK,Airbus A321neo,4152.1,158,67.5,Moderate,-25.8,-44.5,4.98,12107.6,9.52
MAD,LHR,Boeing 757-200,1243.2,124,27.7,Severe,39.1,-42.6,1.46,6137.9,8.69
MAD,ORD,Boeing 777-300ER,6744.3,235,51.8,Moderate,22.9,-54.1,7.45,23566.6,9.66
ORD,FRA,Boeing 767-300ER,6970.8,146,31.0,Moderate,33.0,-42.9,8.19,26013.0,9.24
LHR,BCN,Airbus A321ceo,1147.6,170,69.8,Moderate,32.9,-57.2,1.39,5759.8,9.09
HND,FRA,Airbus A330-300,9361.1,260,18.1,Mild,11.9,-46.1,10.75,28545.5,9.78
AMS,FRA,Airbus A330-300,365.7,221,29.0,Moderate,-28.5,-44.8,0.42,2746.8,8.92
SFO,LHR,Boeing 787-10,8616.4,200,18.9,Severe,-48.5,-57.3,9.54,23250.3,9.71
JFK,SEA,Airbus A220-300,3886.6,96,62.1,Severe,51.6,-59.3,4.69,17256.6,8.45
JNB,MAD,Boeing 787-9,8105.7,181,52.7,Severe,52.7,-58.8,8.98,35011.2,9.31
DFW,ATL,Boeing 777-300ER,1174.7,301,13.8,Severe,39.4,-46.8,1.3,6187.1,9.56
DFW,HND,Airbus A350-1000,10377.6,230,58.9,Moderate,31.8,-54.5,11.49,37974.5,9.62
LHR,JFK,Airbus A350-900,5540.0,242,43.6,Severe,54.3,-59.3,6.14,24867.7,9.52
DFW,MAD,Boeing 777-300ER,7972.1,274,27.9,Mild,-2.0,-49.3,8.81,21864.5,9.84
MAD,AMS,Boeing 737-700,1458.4,93,14.1,Moderate,32.2,-50.5,1.74,6461.2,8.39
MAD,ATL,Boeing 787-10,6959.9,244,17.8,Moderate,19.3,-53.4,7.71,23214.6,9.7
LAX,ATL,Embraer E175,3125.8,49,42.2,Severe,-53.2,-41.4,3.82,9163.4,7.92
ORD,AMS,Airbus A330-300,6612.5,257,10.3,Mild,0.1,-40.5,7.59,18288.2,9.82
LHR,AMS,Boeing 737-900ER,370.3,155,36.7,Mild,-2.6,-51.0,0.44,2536.7,8.52
BCN,CDG,Boeing 787-10,858.3,234,52.0,Mild,-5.2,-52.0,0.95,4179.2,9.43
YYZ,BCN,Boeing 777-200ER,6417.6,199,26.8,Moderate,30.8,-55.5,7.19,23749.1,9.51
SEA,FRA,Airbus A330-900,8196.6,192,36.3,Moderate,21.5,-41.6,9.28,27621.4,9.55
BCN,HND,Airbus A380-800,10443.5,426,60.2,Severe,-41.3,-46.5,11.57,28986.0,9.98
ATL,MAD,Boeing 787-9,6959.9,262,33.3,Moderate,32.2,-46.1,7.71,26046.0,9.68
GRU,JNB,Boeing 777-200ER,7439.0,226,64.2,Mild,0.4,-46.3,8.34,20821.3,9.75
GRU,FRA,Boeing 787-8,9798.1,177,7.3,Mild,-5.6,-53.1,10.85,26067.8,9.65
SIN,BCN,Airbus A350-900,10897.7,247,53.0,Mild,-4.3,-52.1,12.07,29317.9,9.81
JNB,SIN,Airbus A330-300,8656.7,217,65.1,Severe,54.6,-46.2,9.94,37934.8,9.45
LHR,CDG,Bombardier CRJ-900,347.0,68,68.3,Mild,11.7,-47.5,0.42,2398.0,6.31
SFO,CDG,Airbus A350-1000,8962.3,257,51.9,Severe,-48.4,-51.6,9.93,24517.0,9.82
LAX,DFW,Boeing 757-200,1983.0,136,76.1,Mild,6.2,-55.6,2.33,7180.7,9.2
DFW,MAD,Airbus A350-900,7972.1,278,24.9,Severe,-43.9,-52.4,8.83,21832.5,9.85
SFO,LAX,Boeing 737 MAX 8,543.7,104,23.0,Moderate,26.2,-57.3,0.65,3248.6,8.01
DXB,BCN,Airbus A321neo,5175.4,150,14.5,Moderate,-20.1,-40.1,6.21,14460.6,9.51
ATL,JFK,Airbus A320neo,1221.9,105,24.6,Severe,41.9,-48.5,1.47,6056.1,8.41
ATL,LHR,Boeing 777-200ER,6760.9,222,18.9,Mild,6.9,-55.3,7.58,20048.5,9.72
YYZ,ORD,Embraer E190,701.2,69,72.5,Mild,-11.8,-50.0,0.86,3194.6,7.68
CDG,FRA,Airbus A350-900,448.8,225,66.2,Mild,8.8,-43.7,0.5,3381.7,8.94
DXB,LHR,Boeing 777-300ER,5497.4,305,42.7,Severe,45.8,-43.5,6.07,23417.2,9.69
YYZ,CDG,Boeing 787-10,6019.5,265,74.6,Severe,43.0,-56.4,6.67,25074.5,9.62
HND,LAX,Airbus A330-200,8812.6,191,25.2,Mild,14.3,-52.1,10.12,27540.2,9.6
FRA,DXB,Airbus A320ceo,4844.0,133,10.5,Mild,8.8,-53.2,5.85,14857.6,9.34
AMS,HND,Airbus A350-1000,9316.3,237,35.0,Moderate,-31.3,-50.2,10.32,25219.7,9.79
LHR,ATL,Boeing 767-300ER,6760.9,182,29.1,Mild,12.1,-56.5,7.94,21102.2,9.57
FRA,CDG,Boeing 737-800,448.8,110,23.3,Moderate,-23.0,-51.9,0.53,2595.3,8.2
JFK,AMS,Airbus A330-200,5847.6,151,33.2,Moderate,34.6,-42.3,6.71,22425.6,9.25
SFO,SYD,Airbus A350-1000,11942.3,294,15.6,Moderate,-25.8,-42.0,13.23,31719.4,9.88
LAX,MAD,Boeing 787-10,9384.8,242,20.6,Moderate,29.8,-52.2,10.39,33660.1,9.66
JFK,SFO,Boeing 777-300ER,4152.1,330,11.7,Severe,-54.8,-46.6,4.59,12274.9,9.89
MAD,DFW,Boeing 777-200ER,7972.1,226,9.4,Moderate,-19.9,-41.5,8.94,21613.3,9.77
ORD,SEA,Airbus A321ceo,2761.8,151,8.5,Severe,-54.9,-42.2,3.34,8406.9,9.45
ATL,DFW,Boeing 737-700,1174.7,109,37.5,Moderate,-30.9,-40.4,1.4,4434.3,8.89
CDG,FRA,Airbus A330-200,448.8,183,41.0,Mild,-5.1,-48.2,0.52,2968.8,8.84
LAX,SEA,Boeing 767-300ER,1537.1,178,53.6,Severe,48.5,-54.3,1.81,7984.7,9.1
ATL,ORD,Boeing 737-700,975.5,87,31.3,Severe,52.2,-41.3,1.16,5406.7,7.77
GRU,AMS,Boeing 777-200ER,9775.3,259,74.5,Severe,-40.6,-44.4,10.96,26708.1,9.82
BCN,CDG,Embraer E190,858.3,66,77.7,Mild,-2.0,-44.9,1.05,3590.4,7.78
HND,LAX,Airbus A380-800,8812.6,351,41.2,Severe,-48.1,-58.0,9.76,24486.9,9.93
CDG,BCN,Airbus A320neo,858.3,128,23.8,Moderate,-21.5,-59.7,1.03,3649.2,8.95
YYZ,LAX,Airbus A350-1000,3494.5,248,59.0,Mild,-1.7,-45.1,3.87,10892.4,9.75
AMS,MAD,Airbus A330-200,1458.4,182,78.6,Severe,38.8,-54.8,1.67,7479.0,9.14
ATL,SEA,Boeing 787-10,3504.7,279,77.9,Severe,-49.0,-47.4,3.88,11081.3,9.79
JNB,SYD,Airbus A330-900,11032.4,191,25.4,Severe,41.8,-51.1,12.49,43158.8,9.44
CDG,LHR,Airbus A350-900,347.0,240,53.5,Mild,4.6,-44.7,0.38,2979.8,8.85
LHR,DXB,Airbus A321neo,5497.4,118,44.9,Mild,4.4,-42.3,6.6,16046.8,9.28
HND,CDG,Airbus A330-300,9707.5,177,48.7,Mild,9.2,-40.5,11.15,28870.5,9.58
BCN,SEA,Boeing 787-10,8729.8,238,45.6,Mild,-6.7,-55.1,9.67,23814.2,9.79
BCN,ATL,Boeing 777-200ER,7360.2,262,34.3,Severe,-42.9,-42.3,8.25,20349.9,9.82
ATL,ORD,Airbus A321neo,975.5,167,37.5,Moderate,-26.8,-56.3,1.17,4074.6,9.27
ATL,SEA,Embraer E190,3504.7,71,30.4,Mild,7.3,-41.7,4.28,10907.9,8.54
JFK,SEA,Boeing 757-200,3886.6,130,67.1,Severe,-38.7,-41.0,4.57,11512.8,9.35
JNB,FRA,Airbus A330-900,8690.0,194,57.0,Mild,6.4,-57.0,9.84,25406.3,9.65
YYZ,ATL,Airbus A319ceo,1190.9,105,41.5,Mild,-8.7,-53.3,1.44,4470.8,8.85
DXB,BCN,Airbus A350-900,5175.4,275,30.8,Moderate,-26.9,-52.0,5.73,14883.3,9.83
MAD,DXB,Boeing 787-8,5649.3,191,39.9,Mild,-6.3,-56.9,6.26,15961.1,9.66
MAD,AMS,Airbus A330-200,1458.4,186,76.0,Mild,-13.5,-57.0,1.67,5768.8,9.41
LAX,SFO,Boeing 737-900ER,543.7,133,72.6,Moderate,29.4,-41.2,0.65,3540.1,8.34
ORD,JFK,Airbus A319ceo,1188.1,99,8.4,Severe,-38.3,-57.5,1.43,4369.6,8.8
BCN,FRA,Airbus A320neo,1093.6,124,58.2,Mild,-7.0,-53.9,1.31,4335.3,9.0
CDG,DXB,Boeing 757-200,5238.8,144,39.8,Moderate,-16.5,-56.1,6.16,14770.9,9.48
DFW,YYZ,Boeing 787-10,1928.8,230,66.2,Moderate,31.5,-47.1,2.14,8785.0,9.47
SIN,HND,Boeing 787-9,5298.5,202,19.8,Moderate,29.7,-53.3,5.87,19676.9,9.52
CDG,LHR,Boeing 737-700,347.0,112,24.5,Moderate,-34.2,-52.5,0.41,2335.0,7.91
LHR,LAX,Airbus A330-900,8760.2,215,11.2,Severe,-51.3,-47.4,9.92,23578.1,9.75
LAX,BCN,Airbus A350-1000,9674.6,268,14.8,Severe,52.0,-57.3,10.71,41100.6,9.62
DFW,DXB,Airbus A380-800,12919.2,342,74.2,Moderate,18.4,-52.3,14.31,42369.5,9.86
GRU,AMS,Boeing 787-8,9775.3,198,35.9,Moderate,27.6,-56.0,10.83,34344.2,9.55
SEA,JFK,Airbus A380-800,3886.6,439,60.5,Moderate,-30.3,-46.2,4.3,12621.1,9.95
YYZ,BCN,Airbus A380-800,6417.6,427,55.7,Severe,51.8,-42.4,7.11,28820.7,9.83
LAX,FRA,Airbus A350-1000,9321.3,289,69.7,Moderate,-21.9,-56.6,10.32,25626.1,9.86
LAX,SEA,Boeing 757-200,1537.1,141,42.0,Moderate,-34.0,-45.8,1.81,5523.2,9.25
SEA,FRA,Boeing 787-9,8196.6,190,45.8,Severe,-51.7,-46.5,9.08,22379.8,9.68
LHR,JFK,Airbus A350-900,5540.0,284,78.3,Moderate,20.5,-48.5,6.14,19604.8,9.75
MAD,JNB,Airbus A330-900,8105.7,201,16.0,Moderate,24.5,-44.3,9.18,27922.1,9.57
LHR,HND,Boeing 777-200ER,9591.6,274,72.4,Mild,-8.2,-40.5,10.75,26258.3,9.85
LAX,SFO,Boeing 787-8,543.7,149,8.2,Severe,54.0,-49.3,0.6,3768.5,8.44
HND,FRA,Boeing 777-300ER,9361.1,253,50.9,Mild,5.7,-53.1,10.34,27097.7,9.79
SEA,GRU,Airbus A350-1000,10909.9,310,65.8,Moderate,-15.8,-41.6,12.08,29601.2,9.89
ORD,SEA,Boeing 787-10,2761.8,224,13.2,Severe,-37.1,-54.1,3.06,8612.3,9.69
YYZ,HND,Airbus A350-900,10346.4,257,77.2,Severe,35.7,-46.3,11.46,39237.6,9.66
FRA,ORD,Boeing 787-10,6970.8,219,16.9,Moderate,23.5,-58.4,7.72,24059.6,9.62
SIN,SYD,Airbus A350-1000,6293.2,299,24.4,Severe,-44.6,-50.1,6.97,17682.2,9.87
JNB,HND,Airbus A350-1000,13523.2,321,44.6,Moderate,20.9,-51.5,14.98,44440.8,9.84
GRU,JNB,Boeing 787-8,7439.0,168,10.0,Severe,-41.6,-40.4,8.24,20173.4,9.61
BCN,AMS,Boeing 757-200,1241.3,142,23.7,Severe,49.5,-57.4,1.46,6531.2,8.8
JNB,GRU,Boeing 777-300ER,7439.0,298,14.5,Mild,13.4,-57.6,8.22,23439.1,9.82
MAD,BCN,Boeing 737-900ER,483.1,139,58.9,Severe,-42.6,-49.3,0.58,2870.1,8.58
SEA,SYD,Airbus A350-900,12464.1,258,69.1,Moderate,-25.6,-46.3,13.8,33384.6,9.83
SFO,DFW,Boeing 787-8,2352.0,218,35.2,Moderate,-19.7,-57.5,2.6,7732.5,9.65
DFW,FRA,Boeing 777-200ER,8257.3,217,20.5,Moderate,-16.5,-58.8,9.26,22399.7,9.75
ORD,MAD,Boeing 787-9,6744.3,214,29.9,Severe,-49.8,-46.1,7.47,18672.2,9.73
BCN,ATL,Boeing 787-10,7360.2,261,57.6,Severe,-50.6,-45.1,8.15,20526.7,9.82
SFO,AMS,Boeing 777-200ER,8785.5,202,39.3,Mild,-6.1,-40.5,9.85,23845.3,9.71
CDG,SEA,Boeing 777-300ER,8049.2,326,48.2,Mild,-5.0,-55.3,8.89,22326.0,9.9
DXB,YYZ,Airbus A350-1000,11081.9,228,54.2,Moderate,-30.8,-41.9,12.27,29783.5,9.78
MAD,CDG,Boeing 767-300ER,1061.7,192,28.2,Mild,2.8,-58.5,1.25,4490.3,9.38
LAX,FRA,Airbus A330-200,9321.3,189,34.3,Mild,2.7,-43.9,10.7,25856.6,9.66
ATL,YYZ,Airbus A350-900,1190.9,212,74.1,Severe,42.0,-41.8,1.32,6659.4,9.21
AMS,ATL,Airbus A350-900,7065.6,221,60.0,Severe,-42.6,-50.9,7.82,19748.1,9.74
CDG,AMS,Embraer ERJ-145,399.0,37,14.0,Moderate,17.9,-44.9,0.48,2490.3,3.72
HND,DXB,Airbus A330-200,7934.6,214,24.2,Severe,-45.8,-45.6,9.11,21609.3,9.74
DXB,BCN,Boeing 787-9,5175.4,185,52.9,Severe,-47.2,-44.2,5.73,14871.0,9.63
YYZ,ATL,Airbus A321ceo,1190.9,124,31.4,Severe,-47.0,-44.3,1.44,4513.4,9.05
ORD,DFW,Boeing 787-9,1290.0,177,49.7,Mild,9.0,-59.2,1.43,5468.1,9.31
MAD,LAX,Airbus A350-900,9384.8,218,37.5,Mild,5.4,-43.2,10.39,26889.3,9.72
ATL,DFW,Airbus A320ceo,1174.7,127,18.9,Moderate,21.4,-59.5,1.42,5174.1,8.89
DFW,ORD,Airbus A321neo,1290.0,128,57.5,Moderate,28.1,-58.4,1.55,5948.2,8.84
SIN,LHR,Boeing 787-9,10881.4,204,17.4,Severe,44.8,-57.2,12.05,43533.5,9.47
YYZ,MAD,Boeing 777-200ER,6057.7,216,60.4,Moderate,21.7,-47.0,6.79,21167.1,9.61
MAD,AMS,Boeing 737 MAX 9,1458.4,143,11.2,Moderate,16.7,-55.2,1.74,5874.5,9.14
SFO,ATL,Boeing 737 MAX 9,3434.9,131,19.6,Severe,-42.2,-51.0,4.09,10093.7,9.37
YYZ,DFW,Airbus A321ceo,1928.8,161,16.3,Severe,35.1,-57.7,2.33,8401.6,9.19
MAD,YYZ,Boeing 767-300ER,6057.7,155,54.5,Severe,-50.0,-54.1,7.12,17015.7,9.53
AMS,DXB,Airbus A350-1000,5168.5,307,46.4,Moderate,31.1,-59.5,5.72,19902.0,9.75
GRU,JNB,Boeing 767-300ER,7439.0,180,17.3,Severe,35.3,-58.2,8.74,28126.0,9.42
LHR,JFK,Airbus A380-800,5540.0,340,48.9,Mild,-4.9,-53.0,6.14,16401.6,9.9
JFK,GRU,Boeing 777-300ER,7664.1,318,17.4,Severe,37.0,-42.4,8.47,29578.7,9.76
MAD,AMS,Boeing 737-900ER,1458.4,127,62.8,Mild,-10.2,-58.2,1.74,5300.7,9.13
MAD,SEA,Airbus A350-900,8521.4,189,31.1,Severe,-37.1,-46.5,9.44,23095.8,9.68
GRU,JNB,Airbus A330-900,7439.0,228,64.4,Moderate,25.0,-47.5,8.42,26308.8,9.63
GRU,AMS,Airbus A330-300,9775.3,243,24.8,Moderate,-18.1,-53.9,11.22,26276.2,9.8
YYZ,FRA,Airbus A350-1000,6342.8,295,20.4,Moderate,-31.9,-46.4,7.02,17764.7,9.86
CDG,BCN,Airbus A220-300,858.3,97,47.4,Severe,46.4,-49.0,1.04,4827.0,7.99
LHR,LAX,Airbus A330-200,8760.2,207,22.9,Mild,1.1,-43.7,10.06,23929.6,9.72
LAX,GRU,Airbus A330-900,9918.6,254,21.4,Moderate,-32.1,-56.4,11.23,26626.6,9.82
JNB,AMS,Airbus A330-200,9016.7,147,62.3,Mild,-7.1,-51.6,10.35,24488.4,9.52
YYZ,JFK,Embraer ERJ-145,588.2,38,8.2,Mild,-9.0,-55.5,0.71,2746.2,5.49
JFK,DFW,Boeing 767-300ER,2235.0,167,47.7,Mild,3.9,-54.4,2.63,7692.6,9.44
YYZ,CDG,Boeing 787-8,6019.5,146,62.9,Mild,10.7,-51.6,6.67,18913.7,9.4
JFK,GRU,Airbus A330-900,7664.1,190,65.6,Severe,-53.5,-48.2,8.68,21233.7,9.67
FRA,BCN,Airbus A320ceo,1093.6,134,72.0,Mild,8.4,-58.7,1.32,4657.1,9.0
LAX,JFK,Airbus A330-200,3974.3,206,69.3,Moderate,-19.7,-58.0,4.56,12043.0,9.66
DFW,MAD,Boeing 777-200ER,7972.1,274,10.8,Severe,37.3,-58.1,8.94,30630.2,9.69
DFW,CDG,Boeing 787-9,7944.0,254,12.4,Mild,14.9,-43.6,8.8,25165.5,9.75
SEA,ATL,Airbus A321neo,3504.7,159,47.1,Mild,-4.3,-42.6,4.21,10417.7,9.51
LAX,DFW,Boeing 737-700,1983.0,82,59.8,Mild,5.6,-55.5,2.36,6798.5,8.62
YYZ,AMS,Boeing 777-200ER,5989.4,223,40.5,Mild,-0.5,-43.1,6.71,16902.7,9.74
LAX,AMS,Airbus A330-200,8956.1,223,23.5,Mild,-2.7,-41.5,10.28,24173.3,9.76
AMS,DFW,Airbus A350-900,7900.1,269,22.1,Severe,45.5,-54.3,8.75,32403.5,9.64
CDG,SFO,Boeing 787-10,8962.3,265,56.7,Severe,-51.1,-53.9,9.93,24531.9,9.83
ATL,LAX,Boeing 777-200ER,3125.8,230,33.9,Mild,-11.6,-43.1,3.5,9703.3,9.71
LAX,MAD,Airbus A330-200,9384.8,221,36.7,Severe,42.2,-50.7,10.77,37216.8,9.54
BCN,AMS,Airbus A330-900,1241.3,177,59.6,Moderate,15.0,-57.7,1.41,5664.4,9.24
SIN,JNB,Airbus A350-900,8656.7,266,36.2,Mild,12.1,-40.4,9.59,26756.6,9.78
CDG,JFK,Airbus A380-800,5833.5,342,23.2,Moderate,-23.3,-49.8,6.46,16750.2,9.91
YYZ,JFK,Boeing 737-800,588.2,117,63.9,Moderate,17.1,-51.8,0.7,3389.4,8.33
BCN,GRU,Boeing 777-200ER,8765.2,208,47.0,Mild,-0.8,-45.6,9.83,23867.9,9.73
JFK,ATL,Airbus A330-300,1221.9,178,21.5,Moderate,21.5,-42.1,1.4,5538.4,9.25
LAX,CDG,Boeing 777-300ER,9102.7,283,38.6,Moderate,31.3,-40.2,10.06,33336.1,9.73
DXB,HND,Airbus A380-800,7934.6,302,70.6,Mild,5.3,-54.6,8.79,23914.0,9.85
JFK,SFO,Boeing 777-300ER,4152.1,334,15.4,Severe,50.3,-56.3,4.59,18579.8,9.71
HND,CDG,Airbus A350-1000,9707.5,337,49.1,Moderate,-21.3,-40.8,10.75,26499.8,9.92
MAD,AMS,Boeing 737-800,1458.4,106,7.3,Mild,2.6,-51.3,1.74,5174.5,8.94
AMS,BCN,Boeing 777-300ER,1241.3,232,67.3,Moderate,32.4,-41.6,1.37,6509.0,9.36
YYZ,SFO,Boeing 787-9,3628.0,219,15.0,Severe,41.6,-46.2,4.02,15300.4,9.49
DFW,LAX,Airbus A321ceo,1983.0,114,60.2,Mild,-10.4,-59.8,2.39,6579.4,9.11
DXB,JNB,Airbus A350-1000,6412.9,278,35.5,Severe,-36.9,-52.8,7.1,18039.3,9.84
HND,LHR,Boeing 777-300ER,9591.6,224,9.6,Mild,11.9,-44.5,10.6,29098.4,9.71
DFW,SFO,Airbus A319ceo,2352.0,117,44.3,Mild,-12.9,-53.1,2.84,7402.2,9.19
CDG,FRA,Boeing 767-300ER,448.8,133,44.5,Severe,40.1,-40.9,0.53,3422.0,8.02
DFW,SEA,Embraer E175,2667.8,56,73.6,Moderate,-27.0,-50.9,3.26,8076.3,8.14
HND,SFO,Airbus A330-300,8285.6,261,20.2,Moderate,-20.8,-56.0,9.51,22547.5,9.83
SFO,ATL,Airbus A330-900,3434.9,184,27.5,Mild,9.3,-43.8,3.89,11294.5,9.54
DFW,CDG,Boeing 787-10,7944.0,232,27.9,Mild,-12.9,-50.8,8.8,21698.4,9.78
ATL,FRA,Boeing 777-300ER,7408.5,302,77.9,Moderate,-31.3,-44.7,8.19,20938.2,9.87
SEA,DFW,Airbus A330-900,2667.8,192,42.7,Mild,-6.9,-43.9,3.02,8561.0,9.59
MAD,DFW,Airbus A350-900,7972.1,239,25.2,Moderate,-28.1,-47.9,8.83,21764.2,9.79
CDG,LHR,Boeing 737 MAX 8,347.0,142,72.0,Mild,-13.4,-54.7,0.41,2556.4,8.23
AMS,JFK,Boeing 787-8,5847.6,219,8.2,Mild,-12.9,-59.1,6.48,16273.8,9.74
ORD,SFO,Boeing 757-200,2964.0,119,10.4,Moderate,26.4,-50.0,3.49,11232.2,9.0
SEA,ATL,Airbus A321neo,3504.7,139,60.3,Severe,-50.1,-55.4,4.21,10429.2,9.4
GRU,MAD,Airbus A330-200,8379.6,214,72.4,Severe,-48.8,-57.5,9.62,23094.4,9.73
SEA,LAX,Airbus A330-900,1537.1,209,63.7,Moderate,31.2,-46.6,1.74,7376.0,9.34
ATL,LHR,Boeing 777-200ER,6760.9,224,58.8,Severe,-40.3,-41.4,7.58,18981.7,9.75
AMS,JNB,Boeing 787-10,9016.7,244,53.7,Moderate,-25.1,-49.8,9.99,24606.2,9.8
ATL,LAX,Airbus A350-1000,3125.8,331,30.6,Mild,5.4,-51.1,3.46,10384.4,9.84
CDG,BCN,Airbus A320neo,858.3,111,21.0,Moderate,-28.7,-58.7,1.03,3610.0,8.77
SEA,YYZ,Boeing 777-200ER,3307.0,257,47.9,Moderate,29.9,-49.1,3.71,13279.9,9.63
DFW,ORD,Airbus A320ceo,1290.0,105,45.8,Mild,-2.0,-51.3,1.56,4745.8,8.88
CDG,LHR,Airbus A320neo,347.0,111,44.9,Mild,-5.2,-53.5,0.42,2404.8,7.82
JFK,ATL,Airbus A321neo,1221.9,124,29.4,Severe,46.5,-56.0,1.47,6287.2,8.63
ATL,DFW,Boeing 787-10,1174.7,283,40.1,Mild,-6.6,-55.5,1.3,4963.5,9.65
SEA,AMS,Boeing 787-10,7839.9,288,36.8,Mild,-2.5,-46.0,8.68,21609.7,9.86
DFW,YYZ,Airbus A330-900,1928.8,239,26.3,Severe,-51.9,-51.0,2.18,6664.9,9.67
JFK,ATL,Boeing 767-300ER,1221.9,130,7.3,Mild,4.1,-43.2,1.44,4692.7,9.09
DXB,ORD,Airbus A380-800,11641.1,335,29.2,Moderate,17.5,-57.7,12.89,37459.4,9.86
ATL,JFK,Airbus A321neo,1221.9,148,7.9,Moderate,-27.0,-51.0,1.47,4549.7,9.26
LHR,HND,Boeing 777-200ER,9591.6,212,20.8,Moderate,-19.4,-53.6,10.75,25728.6,9.74
HND,AMS,Airbus A330-200,9316.3,170,42.4,Moderate,-18.0,-53.6,10.7,25124.9,9.62
CDG,AMS,Boeing 737-800,399.0,131,32.3,Mild,-14.3,-54.9,0.48,2537.8,8.36
DXB,ORD,Boeing 787-9,11641.1,209,10.7,Severe,-54.0,-47.4,12.89,30759.9,9.74
ATL,BCN,Boeing 767-300ER,7360.2,159,49.0,Mild,-0.9,-59.4,8.65,20239.8,9.56
SEA,SYD,Airbus A350-1000,12464.1,333,11.7,Mild,-13.5,-51.9,13.8,33060.5,9.92
YYZ,ORD,Embraer E175,701.2,68,19.3,Mild,-4.2,-46.3,0.86,3103.2,7.72
DXB,JNB,Boeing 777-200ER,6412.9,191,8.6,Moderate,18.4,-44.5,7.19,21180.1,9.56
HND,LAX,Airbus A330-200,8812.6,164,52.3,Moderate,-20.1,-42.7,10.12,23931.8,9.59
LHR,LAX,Airbus A330-300,8760.2,191,52.5,Severe,49.5,-53.1,10.06,36869.2,9.38
SFO,LAX,Airbus A220-300,543.7,113,35.6,Mild,-4.6,-49.1,0.66,2845.8,8.44
LAX,JFK,Airbus A330-900,3974.3,225,33.7,Mild,-11.6,-48.0,4.5,11814.0,9.72
CDG,LHR,Boeing 757-200,347.0,135,60.0,Mild,7.7,-49.3,0.41,2714.6,7.99
HND,MAD,Airbus A350-900,10766.1,216,48.9,Moderate,32.0,-58.0,11.92,39222.3,9.58
SIN,CDG,Boeing 777-300ER,10723.4,308,18.6,Moderate,16.2,-43.4,11.85,33949.3,9.83
JFK,MAD,Boeing 787-9,5760.4,197,30.0,Mild,5.3,-57.3,6.38,17097.6,9.65
AMS,CDG,Airbus A320ceo,399.0,113,66.1,Moderate,23.5,-43.4,0.48,2873.0,7.77
YYZ,MAD,Boeing 787-10,6057.7,216,50.8,Moderate,-24.0,-51.9,6.71,17135.1,9.73
DFW,ATL,Airbus A319ceo,1174.7,114,67.9,Severe,-37.0,-53.7,1.42,4513.3,8.93
SFO,GRU,Boeing 777-300ER,10427.2,315,61.7,Moderate,30.5,-43.2,11.52,37907.0,9.79
JFK,AMS,Airbus A350-900,5847.6,231,48.4,Mild,14.2,-55.5,6.48,19121.0,9.68
CDG,ATL,Boeing 777-200ER,7055.4,266,16.2,Moderate,-23.8,-48.6,7.91,19448.2,9.83
JFK,LAX,Boeing 777-300ER,3974.3,231,25.6,Mild,-2.0,-51.5,4.39,11772.5,9.74
BCN,DXB,Airbus A380-800,5175.4,360,66.5,Mild,-4.9,-40.2,5.73,15791.9,9.9
ATL,DFW,Boeing 737-900ER,1174.7,139,46.9,Mild,-2.7,-41.0,1.4,4555.9,9.15
LHR,ORD,Airbus A330-900,6344.7,248,30.8,Severe,45.3,-42.3,7.19,26383.6,9.58
LAX,ATL,Boeing 757-200,3125.8,152,7.8,Moderate,18.6,-50.9,3.68,11071.8,9.33
LHR,CDG,Boeing 737-800,347.0,111,72.8,Severe,44.8,-54.2,0.41,2969.7,7.25
ORD,ATL,Airbus A321neo,975.5,128,79.2,Severe,36.5,-44.6,1.17,5221.8,8.62
CDG,MAD,Airbus A330-900,1061.7,242,46.2,Mild,-5.6,-48.0,1.2,4664.0,9.53
JFK,YYZ,Boeing 757-200,588.2,117,32.0,Severe,-44.2,-40.6,0.69,3053.9,8.52
LHR,DXB,Airbus A319ceo,5497.4,106,17.3,Moderate,15.6,-40.9,6.64,17753.8,9.05
SEA,ATL,Airbus A319ceo,3504.7,85,70.8,Mild,1.0,-49.6,4.23,10402.5,8.88
JFK,SEA,Boeing 737 MAX 9,3886.6,117,70.0,Moderate,29.0,-42.7,4.63,14758.8,8.98
CDG,LAX,Airbus A330-300,9102.7,192,55.5,Mild,9.8,-43.5,10.45,27432.5,9.63
SIN,DXB,Airbus A350-900,5845.5,225,32.9,Severe,-40.3,-59.5,6.47,16485.5,9.75
LHR,CDG,Boeing 767-300ER,347.0,145,52.8,Mild,9.9,-59.9,0.41,2811.7,8.07
GRU,LAX,Boeing 787-9,9918.6,229,10.2,Mild,12.5,-49.4,10.98,30205.5,9.72
ORD,ATL,Bombardier CRJ-900,975.5,52,7.2,Moderate,-29.0,-50.0,1.18,3741.4,7.38
ATL,DXB,Airbus A350-900,12209.1,232,5.3,Severe,40.5,-51.2,13.52,47023.7,9.59
JNB,DXB,Airbus A350-900,6412.9,277,52.7,Severe,47.8,-44.9,7.1,27344.5,9.64
BCN,ATL,Airbus A380-800,7360.2,339,78.2,Mild,-8.7,-41.7,8.15,21392.8,9.9
JFK,GRU,Airbus A350-900,7664.1,250,17.8,Mild,-3.7,-53.9,8.49,20954.6,9.81
